DIVISION_ID;PARTY_ID;ACRONYM;LABEL;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
be;BE01;CD&V;Christen-Democratisch & Vlaams; 8,90;PROVISIONAL;2019-06-04T15:48:00Z
be;BE02;Groen;Groen; 7,57;PROVISIONAL;2019-06-04T15:48:00Z
be;BE03;N-VA;Nieuw-Vlaamse Alliantie;13,73;PROVISIONAL;2019-06-04T15:48:00Z
be;BE04;sp.a;Socialistische Partij - Anders; 6,25;PROVISIONAL;2019-06-04T15:48:00Z
be;BE05;VI.Belang;Vlaams Belang;11,68;PROVISIONAL;2019-06-04T15:48:00Z
be;BE06;Open VLD;Open Vlaamse Liberalen en Democraten; 9,76;PROVISIONAL;2019-06-04T15:48:00Z
be;BE07;PVDA-PTB;Partij van de Arbeid van België; 3,03;PROVISIONAL;2019-06-04T15:48:00Z
be;BE08;PS;Parti Socialiste;10,19;PROVISIONAL;2019-06-04T15:48:00Z
be;BE09;MR;Mouvement Réformateur; 7,36;PROVISIONAL;2019-06-04T15:48:00Z
be;BE10;cdH;Centre Démocrate Humaniste; 3,41;PROVISIONAL;2019-06-04T15:48:00Z
be;BE11;ECOLO;Ecologistes Confédérés pour l'Organisation de Luttes Originales; 7,60;PROVISIONAL;2019-06-04T15:48:00Z
be;BE12;PTB-PVDA;Parti du Travail de Belgique; 5,57;PROVISIONAL;2019-06-04T15:48:00Z
be;BE13;DéFI;Démocrate Fédéraliste Indépendant; 2,26;PROVISIONAL;2019-06-04T15:48:00Z
be;BE14;PP;Parti Populaire; 1,78;PROVISIONAL;2019-06-04T15:48:00Z
be;BE15;CSP;Christlich Soziale Partei; 0,22;PROVISIONAL;2019-06-04T15:48:00Z
be;BE16;SP;Sozialistische Partei; 0,07;PROVISIONAL;2019-06-04T15:48:00Z
be;BE17;PFF;Partei für Freiheit und Fortschritt; 0,07;PROVISIONAL;2019-06-04T15:48:00Z
be;BE18;ProDG;Pro deutschsprachige Gemeinschaft; 0,08;PROVISIONAL;2019-06-04T15:48:00Z
be;BE19;ECOLO (G.);Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.); 0,10;PROVISIONAL;2019-06-04T15:48:00Z
be;BE90;Other parties F.;Other parties from Dutch-speaking electoral college; 0,29;PROVISIONAL;2019-06-04T15:48:00Z
be;BE91;Other parties W.;Other parties from French-speaking electoral college; 0,00;PROVISIONAL;2019-06-04T15:48:00Z
be;BE92;Other parties G.;Other parties from German-speaking electoral college; 0,08;PROVISIONAL;2019-06-04T15:48:00Z
fbe;BE01;CD&V;Christen-Democratisch & Vlaams;14,53;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE02;Groen;Groen;12,37;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE03;N-VA;Nieuw-Vlaamse Alliantie;22,44;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE04;sp.a;Socialistische Partij - Anders;10,21;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE05;VI.Belang;Vlaams Belang;19,08;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE06;Open VLD;Open Vlaamse Liberalen en Democraten;15,95;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE07;PVDA-PTB;Partij van de Arbeid van België; 4,95;PROVISIONAL;2019-05-27T10:18:00Z
fbe;BE90;Other parties F.;Other parties from Dutch-speaking electoral college; 0,47;PROVISIONAL;2019-05-27T10:18:00Z
gbe;BE15;CSP;Christlich Soziale Partei;34,90;PROVISIONAL;2019-05-26T23:51:00Z
gbe;BE16;SP;Sozialistische Partei;11,40;PROVISIONAL;2019-05-26T23:51:00Z
gbe;BE17;PFF;Partei für Freiheit und Fortschritt;11,50;PROVISIONAL;2019-05-26T23:51:00Z
gbe;BE18;ProDG;Pro deutschsprachige Gemeinschaft;13,10;PROVISIONAL;2019-05-26T23:51:00Z
gbe;BE19;ECOLO (G.);Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.);16,40;PROVISIONAL;2019-05-26T23:51:00Z
gbe;BE92;Other parties G.;Other parties from German-speaking electoral college;12,70;PROVISIONAL;2019-05-26T23:51:00Z
wbe;BE08;PS;Parti Socialiste;26,69;PROVISIONAL;2019-05-27T10:18:00Z
